Sl. No.,State/UT,2020 - Number of Accidents,2020 - Number of Fatalities,2021 - Number of Accidents,2021 - Number of Fatalities,2022 - Number of Accidents,2022 - Number of Fatalities
1,Andhra Pradesh,0,0,0,0,0,0
2,Arunachal Pradesh,13,8,25,13,20,15
3,Assam,194,57,187,55,319,117
4,Bihar,0,0,0,0,0,0
5,Chhattisgarh,5,1,15,4,40,7
6,Goa,0,0,0,0,0,0
7,Gujarat,6,6,8,5,0,0
8,Haryana,183,69,102,38,130,47
9,Himachal Pradesh,0,0,20,11,2,2
10,Jharkhand,129,79,97,77,56,34
11,Karnataka,36,7,67,16,55,19
12,Kerala,25,2,16,6,25,1
13,Madhya Pradesh,439,96,711,220,759,199
14,Maharashtra,61,39,33,14,4,4
15,Manipur,2,1,6,0,5,3
16,Meghalaya,0,0,0,0,1,0
17,Mizoram,1,1,0,0,2,2
18,Nagaland,57,2,15,3,12,1
19,Odisha,174,80,213,93,158,69
20,Punjab,102,78,114,77,84,60
21,Rajasthan,120,50,69,23,98,51
22,Sikkim,0,0,0,0,1,0
23,Tamil Nadu,385,46,459,109,446,107
24,Telangana,58,36,87,29,153,40
25,Tripura,0,0,0,0,1,1
26,Uttarakhand,4,1,0,0,0,0
27,Uttar Pradesh,1447,759,1254,649,1986,1030
28,West Bengal,63,39,64,28,44,34
29,Andaman and Nicobar Islands,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,1,1
31,Jammu and Kashmir,4,0,4,0,7,0
32,Ladakh,NA,NA,0,0,0,0
33,Dadra and Nagar Haveli and Daman and Diu,1,1,2,2,7,4
34,Delhi,55,13,56,9,28,7
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,1,0,2,1
Total,Total,3564,1471,3625,1481,4446,1856
